;Ile ważysz?;Ile ważysz?;Ile ważysz?;Ile ważysz?;;;;;;;;;;;dla kogo?;dla kogo?;jesteś zimno, czy ciepłolubnym?;jesteś zimno, czy ciepłolubnym?;;;;;
;uniwersalny - od 60-140kg;dla osób cięższych;do 110 kg;wersja ekonomiczna dla osób ciężkich ok 120kg;dla osób pomiędzy 80-140kg;dla par o dużej róznicy wagowej;uniwersalny dla osób cięzkich i lekkich;uniwersalny - dwie twardości;twardy;dla osób od 70 - 130kg;dla par;dla wysokich;dla niskich;dla osób z problemami kręgosłupa;dla seniorów;dla młodzieży;dla zmarzluchów i ciepluchów;Nie pocisz się, poprzez otwory wentylacyjne, dla tych którym gorąco w nocy;dla rodziców śpiących z dziećmi;dla śpiących ze zwierzakiem;wytrzymały;Dla regulowanych stelaży;dla śpiących na boku
Fandango;;;;;;;;;;;;;;;;;;;;;;;
Step;;;;;;;;;;;;;;;;;;;;;;;
Zorba;;;;;;;;;;;;;;;;;;;;;;;
Breakdance;;;;;;;;;;;;;;;;;;;;;;;
Dobranocka;;;;;;;;;;;;;;;;;;;;;;;
Kołysanka;;;;;;;;;;;;;;;;;;;;;;;
Safety Smyk;;;;;;;;;;;;;;;;;;;;;;;
Melody;#;#;;;;#;;;;;;;;;#;;;#;;;#;#;
Foxtrot;;;;;#;;;;#;;;;;;;;;;;;#;;#
Rock&Roll;;;#;;;;;#;;;#;;;;;;;;;;;;
Cha-Cha;;;#;#;;;;;;;#;;;;;;;;;;;;
Tango;;;;;;#;;;;;;;;;#;;;;#;;;;
Flamenco;;;;;;#;#;;;;;#;;;;;;;;;;;#
Conga;;;;;;;#;;;;;#;;;;;#;;;;;;#
Boogie;;;;;;#;#;;;;;;;#;;;;;;;;;
Modern;;;;;#;;;#;;;;;;;;;;#;;;#;;#
Dance;;;;;;#;;;;;;;;;;;;;#;#;;;#
Lambada;;;#;;;#;;#;;;;;;#;;;;;#;#;;;
Makarena;#;;;;;#;;;;;;;;;;;#;;#;;;;#
Pasodoble;;;;;;;;;#;#;;;;#;#;;;;;;;;
Rumba;;;;;;;;;;;;;;;;;;;;;;;
Salsa;;;;;;#;;;;;#;#;#;;;;#;;;;;;#
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Electro;;;;;;;;;;;;;;;;;;;;;;;
Funky;;;;;;;;;;;;;;;;;;;;;;;
Bass;;;;;;;;;;;;;;;;;;;;;;;
Alt;;;;;;;;;;;;;;;;;;;;;;;
Tenor;;;;;;;;;;;;;;;;;;;;;;;
